"Date","Price","Open","High","Low","Vol.","Change %"
"08/26/2024","12,150.0","12,300.0","12,400.0","12,050.0","31.27M","0.00%"
"08/23/2024","12,150.0","12,150.0","12,250.0","11,900.0","28.51M","0.00%"
"08/22/2024","12,150.0","12,250.0","12,250.0","12,050.0","18.60M","-0.82%"
"08/21/2024","12,250.0","12,100.0","12,250.0","11,950.0","22.60M","0.82%"
"08/20/2024","12,150.0","12,000.0","12,350.0","11,750.0","37.74M","1.25%"
"08/19/2024","12,000.0","12,200.0","12,250.0","11,850.0","25.14M","0.42%"
"08/16/2024","11,950.0","11,250.0","11,950.0","11,200.0","55.17M","6.70%"
"08/15/2024","11,200.0","11,150.0","11,200.0","10,900.0","15.15M","0.90%"
"08/14/2024","11,100.0","11,450.0","11,450.0","11,050.0","17.98M","-2.20%"
"08/13/2024","11,350.0","11,500.0","11,500.0","11,150.0","15.17M","-1.30%"
"08/12/2024","11,500.0","11,400.0","11,500.0","11,300.0","13.02M","1.32%"
"08/09/2024","11,350.0","11,300.0","11,450.0","11,150.0","21.62M","2.25%"
"08/08/2024","11,100.0","11,000.0","11,350.0","11,000.0","11.73M","-0.45%"
"08/07/2024","11,150.0","11,250.0","11,250.0","10,950.0","11.78M","0.00%"
"08/06/2024","11,150.0","11,150.0","11,250.0","10,850.0","15.20M","2.76%"
"08/05/2024","10,850.0","11,150.0","11,500.0","10,750.0","24.60M","-5.65%"
"08/02/2024","11,500.0","11,100.0","11,550.0","11,000.0","24.82M","3.14%"
"08/01/2024","11,150.0","11,550.0","11,550.0","10,900.0","32.79M","-0.89%"
"07/31/2024","11,250.0","11,250.0","11,250.0","11,100.0","28.66M","6.55%"
"07/30/2024","10,558.1","11,118.0","11,118.0","10,558.1","49.95M","-5.04%"
"07/29/2024","11,118.0","11,118.0","11,358.0","11,078.1","27.54M","0.72%"
"07/26/2024","11,038.1","11,358.0","11,358.0","10,918.1","25.30M","-1.78%"
"07/25/2024","11,238.0","11,598.0","11,598.0","11,198.0","11.49M","-3.10%"
"07/24/2024","11,598.0","10,838.1","11,638.0","10,838.1","23.28M","3.94%"
"07/23/2024","11,158.0","11,957.9","11,997.9","11,118.0","39.31M","-5.42%"
"07/22/2024","11,797.9","12,317.8","12,437.8","11,797.9","34.47M","-6.65%"
"07/19/2024","12,637.8","13,477.6","13,517.6","12,637.8","69.04M","-6.78%"
"07/18/2024","13,557.6","13,357.7","13,557.6","13,117.7","9.96M","2.11%"
"07/17/2024","13,277.7","13,677.6","13,757.6","13,157.7","17.51M","-1.77%"
"07/16/2024","13,517.6","13,557.6","13,757.6","13,477.6","10.62M","0.30%"
"07/15/2024","13,477.6","13,557.6","13,597.6","13,437.6","6.86M","0.00%"
"07/12/2024","13,477.6","13,797.6","13,837.6","13,477.6","11.83M","-2.04%"
"07/11/2024","13,757.6","13,717.6","13,837.6","13,637.6","12.05M","1.18%"
"07/10/2024","13,597.6","13,797.6","13,837.6","13,597.6","7.62M","-1.45%"
"07/09/2024","13,797.6","13,437.6","13,837.6","13,437.6","16.26M","2.68%"
"07/08/2024","13,437.6","13,557.6","13,637.6","13,397.6","8.05M","0.00%"
"07/05/2024","13,437.6","13,597.6","13,597.6","13,357.7","8.45M","-0.89%"
"07/04/2024","13,557.6","13,677.6","13,837.6","13,517.6","7.77M","-0.59%"
"07/03/2024","13,637.6","13,477.6","13,717.6","13,477.6","9.87M","1.19%"
"07/02/2024","13,477.6","13,357.7","13,477.6","13,317.7","6.83M","1.51%"
"07/01/2024","13,277.7","13,197.7","13,317.7","12,997.7","8.01M","1.22%"
"06/28/2024","13,117.7","13,437.6","13,517.6","12,957.7","19.00M","-2.38%"
"06/27/2024","13,437.6","13,437.6","13,557.6","13,317.7","8.94M","0.00%"
"06/26/2024","13,437.6","13,437.6","13,637.6","13,357.7","9.74M","0.00%"
"06/25/2024","13,437.6","13,437.6","13,557.6","13,317.7","13.51M","0.60%"
"06/24/2024","13,357.7","13,997.5","14,077.5","13,277.7","41.50M","-4.57%"
"06/21/2024","13,997.5","14,117.5","14,237.5","13,997.5","19.08M","-0.57%"
"06/20/2024","14,077.5","14,517.5","14,517.5","14,077.5","28.68M","-2.49%"
"06/19/2024","14,437.5","14,557.4","14,637.4","14,397.5","19.69M","-0.82%"
"06/18/2024","14,557.4","14,677.4","14,757.4","14,517.5","16.78M","0.00%"
"06/17/2024","14,557.4","14,557.4","14,717.4","14,437.5","21.42M","0.00%"
"06/14/2024","14,557.4","15,237.3","15,357.3","14,557.4","40.33M","-3.70%"
"06/13/2024","15,117.3","15,357.3","15,397.3","15,117.3","18.96M","-0.79%"
"06/12/2024","15,237.3","14,757.4","15,397.3","14,717.4","63.19M","3.81%"
"06/11/2024","14,677.4","14,677.4","14,717.4","14,477.5","21.37M","0.55%"
"06/10/2024","14,597.4","14,517.5","14,757.4","14,477.5","18.13M","1.11%"
"06/07/2024","14,437.5","14,557.4","14,597.4","14,437.5","15.29M","-0.28%"
"06/06/2024","14,477.5","14,557.4","14,677.4","14,397.5","14.58M","-0.28%"
"06/05/2024","14,517.5","14,717.4","14,797.4","14,517.5","16.59M","-0.55%"
"06/04/2024","14,597.4","14,717.4","14,917.4","14,597.4","22.06M","-0.55%"
"06/03/2024","14,677.4","14,557.4","14,797.4","14,557.4","29.18M","1.94%"
"05/31/2024","14,397.5","14,317.5","14,597.4","14,317.5","21.09M","0.56%"
"05/30/2024","14,317.5","14,197.5","14,437.5","14,037.5","27.44M","-0.56%"
"05/29/2024","14,397.5","14,517.5","14,717.4","14,317.5","23.52M","-0.83%"
"05/28/2024","14,517.5","14,397.5","14,557.4","14,317.5","18.97M","1.40%"
"05/27/2024","14,317.5","14,157.5","14,357.5","13,997.5","14.60M","1.13%"
"05/24/2024","14,157.5","14,517.5","14,597.4","13,957.5","43.42M","-3.80%"
"05/23/2024","14,717.4","14,517.5","14,717.4","14,117.5","36.42M","1.10%"
"05/22/2024","14,557.4","14,677.4","14,997.4","14,477.5","35.59M","-0.55%"
"05/21/2024","14,637.4","14,597.4","14,717.4","14,357.5","25.98M","0.27%"
"05/20/2024","14,597.4","14,797.4","14,877.4","14,597.4","27.73M","0.00%"
"05/17/2024","14,597.4","14,557.4","14,757.4","14,437.5","26.01M","0.55%"
"05/16/2024","14,517.5","14,477.5","14,677.4","14,397.5","33.94M","1.68%"
"05/15/2024","14,277.5","13,997.5","14,517.5","13,997.5","34.83M","2.00%"
"05/14/2024","13,997.5","14,077.5","14,197.5","13,957.5","12.48M","-0.28%"
"05/13/2024","14,037.5","14,077.5","14,237.5","13,917.6","22.13M","0.00%"
"05/10/2024","14,037.5","13,917.6","14,077.5","13,717.6","23.09M","1.74%"
"05/09/2024","13,797.6","14,077.5","14,157.5","13,757.6","21.57M","-1.43%"
"05/08/2024","13,997.5","13,837.6","14,197.5","13,717.6","28.71M","0.00%"
"05/07/2024","13,997.5","14,077.5","14,117.5","13,877.6","18.33M","-0.57%"
"05/06/2024","14,077.5","13,597.6","14,117.5","13,517.6","35.83M","4.76%"
"05/03/2024","13,437.6","13,597.6","13,677.6","13,357.7","18.02M","0.30%"
"05/02/2024","13,397.6","13,477.6","13,557.6","13,277.7","14.39M","-0.59%"
"04/26/2024","13,477.6","13,357.7","13,677.6","13,357.7","20.58M","-1.46%"
"04/25/2024","13,677.6","13,717.6","13,757.6","13,517.6","18.95M","-0.87%"
"04/24/2024","13,797.6","13,517.6","13,917.6","13,397.6","32.96M","4.23%"
"04/23/2024","13,237.7","13,717.6","13,757.6","13,157.7","26.13M","-3.50%"
"04/22/2024","13,717.6","13,477.6","13,917.6","13,317.7","34.92M","5.21%"
"04/19/2024","13,037.7","13,277.7","13,757.6","12,797.8","59.28M","-4.12%"
"04/17/2024","13,597.6","14,397.5","14,437.5","13,597.6","40.39M","-4.76%"
"04/16/2024","14,277.5","14,477.5","14,557.4","13,557.6","78.14M","-1.65%"
"04/15/2024","14,517.5","15,557.3","15,797.2","14,517.5","54.85M","-6.92%"
"04/12/2024","15,597.3","15,517.3","15,757.2","15,357.3","28.50M","1.83%"
"04/11/2024","15,317.3","15,157.3","15,477.3","15,117.3","33.11M","-0.26%"
"04/10/2024","15,357.3","15,717.2","15,717.2","15,357.3","21.84M","-2.29%"
"04/09/2024","15,717.2","15,277.3","15,717.2","15,157.3","34.51M","3.69%"
"04/08/2024","15,157.3","15,557.3","15,557.3","15,157.3","42.44M","-1.81%"
"04/05/2024","15,437.3","15,837.2","15,877.2","15,437.3","64.41M","-3.98%"
"04/04/2024","16,077.2","16,437.1","16,477.1","15,997.2","38.34M","-1.95%"
"04/03/2024","16,397.1","16,797.1","17,117.0","16,397.1","53.06M","-2.15%"
"04/02/2024","16,757.1","16,397.1","16,757.1","16,117.2","32.34M","1.95%"
"04/01/2024","16,437.1","16,357.1","16,637.1","16,077.2","39.78M","0.00%"
"03/29/2024","16,437.1","16,797.1","16,797.1","16,397.1","36.53M","-2.14%"
"03/28/2024","16,797.1","16,997.0","16,997.0","16,597.1","36.42M","0.00%"
"03/27/2024","16,797.1","17,077.0","17,077.0","16,557.1","33.08M","0.24%"
"03/26/2024","16,757.1","16,157.2","16,757.1","15,837.2","44.83M","3.71%"
"03/25/2024","16,157.2","16,557.1","16,557.1","15,997.2","50.06M","0.25%"
"03/22/2024","16,117.2","16,317.1","16,557.1","15,917.2","49.22M","0.00%"
"03/21/2024","16,117.2","16,437.1","16,477.1","15,957.2","41.02M","0.75%"
"03/20/2024","15,997.2","15,517.3","15,997.2","15,357.3","36.04M","3.63%"
"03/19/2024","15,437.3","15,957.2","15,957.2","15,437.3","29.90M","-2.28%"
"03/18/2024","15,797.2","16,797.1","16,957.0","15,477.3","78.42M","-5.05%"
"03/15/2024","16,637.1","16,637.1","16,957.0","16,197.2","31.75M","0.00%"
"03/14/2024","16,637.1","16,117.2","17,157.0","15,997.2","58.54M","3.48%"
