Date,Close,Open,High,Low,Volume,Change
2024-01-24,13917.6,13877.6,14157.5,13877.6,30500000.0,0.0029
2024-01-25,13877.6,14037.5,14037.5,13877.6,12460000.0,-0.0029
2024-01-26,13877.6,13877.6,13997.5,13837.6,17480000.0,0.0
2024-01-29,13797.6,13917.6,14037.5,13797.6,18440000.0,-0.0058
2024-01-30,13917.6,13797.6,13917.6,13677.6,17740000.0,0.0087
2024-01-31,13957.5,13957.5,14317.5,13917.6,46630000.0,0.0029
2024-02-01,13917.6,13997.5,14037.5,13877.6,15090000.0,-0.0029
2024-02-02,14157.5,14037.5,14397.5,13957.5,48790000.0,0.0172
2024-02-05,14237.5,14197.5,14317.5,14117.5,19450000.0,0.005699999999999999
2024-02-06,14397.5,14317.5,14637.4,14277.5,31920000.0,0.011200000000000002
2024-02-07,14477.5,14477.5,14597.4,14277.5,20180000.0,0.005600000000000001
2024-02-15,14277.5,14557.4,14597.4,14237.5,30770000.0,-0.0138
2024-02-16,14357.5,14277.5,14517.5,14237.5,27370000.0,0.005600000000000001
2024-02-19,14317.5,14357.5,14397.5,13997.5,34180000.0,-0.0028000000000000004
2024-02-20,14637.4,14397.5,14957.4,14397.5,61790000.0,0.0223
2024-02-21,14677.4,14677.4,14797.4,14517.5,30870000.0,0.0027
2024-02-22,14437.5,14637.4,14717.4,14437.5,18980000.0,-0.0163
2024-02-23,13997.5,14557.4,14557.4,13957.5,46570000.0,-0.0305
2024-02-26,14357.5,13957.5,14517.5,13837.6,31190000.0,0.025699999999999997
2024-02-27,14477.5,14477.5,14757.4,14317.5,27610000.0,0.0084
2024-02-28,14517.5,14557.4,14757.4,14397.5,35180000.0,0.0028000000000000004
2024-02-29,14637.4,14637.4,15037.4,14517.5,45630000.0,0.0083
2024-03-01,15117.3,14677.4,15157.3,14677.4,48000000.0,0.032799999999999996
2024-03-04,15117.3,15437.3,15477.3,15037.4,31640000.0,0.0
2024-03-05,15277.3,15157.3,15317.3,14877.4,37340000.0,0.0106
2024-03-06,14957.4,15317.3,15437.3,14837.4,35650000.0,-0.0209
2024-03-07,15837.2,14957.4,15997.2,14917.4,78920000.0,0.0588
2024-03-08,15557.3,15957.2,16117.2,15517.3,48170000.0,-0.0177
2024-03-11,15517.3,15557.3,15717.2,15037.4,42560000.0,-0.0026
2024-03-12,15037.4,15317.3,15397.3,14957.4,42900000.0,-0.030899999999999997
2024-03-13,16077.2,15077.4,16077.2,15077.4,46620000.0,0.0691
2024-03-14,16637.1,16117.2,17157.0,15997.2,58540000.0,0.0348
2024-03-15,16637.1,16637.1,16957.0,16197.2,31750000.0,0.0
2024-03-18,15797.2,16797.1,16957.0,15477.3,78420000.0,-0.050499999999999996
2024-03-19,15437.3,15957.2,15957.2,15437.3,29900000.0,-0.022799999999999997
2024-03-20,15997.2,15517.3,15997.2,15357.3,36040000.0,0.0363
2024-03-21,16117.2,16437.1,16477.1,15957.2,41020000.0,0.0075
2024-03-22,16117.2,16317.1,16557.1,15917.2,49220000.0,0.0
2024-03-25,16157.2,16557.1,16557.1,15997.2,50060000.0,0.0025
2024-03-26,16757.1,16157.2,16757.1,15837.2,44830000.0,0.0371
2024-03-27,16797.1,17077.0,17077.0,16557.1,33080000.0,0.0024
2024-03-28,16797.1,16997.0,16997.0,16597.1,36420000.0,0.0
2024-03-29,16437.1,16797.1,16797.1,16397.1,36530000.0,-0.021400000000000002
2024-04-01,16437.1,16357.1,16637.1,16077.2,39780000.0,0.0
2024-04-02,16757.1,16397.1,16757.1,16117.2,32340000.000000004,0.0195
2024-04-03,16397.1,16797.1,17117.0,16397.1,53060000.0,-0.0215
2024-04-04,16077.2,16437.1,16477.1,15997.2,38340000.0,-0.0195
2024-04-05,15437.3,15837.2,15877.2,15437.3,64410000.0,-0.0398
2024-04-08,15157.3,15557.3,15557.3,15157.3,42440000.0,-0.0181
2024-04-09,15717.2,15277.3,15717.2,15157.3,34510000.0,0.0369
2024-04-10,15357.3,15717.2,15717.2,15357.3,21840000.0,-0.0229
2024-04-11,15317.3,15157.3,15477.3,15117.3,33110000.0,-0.0026
2024-04-12,15597.3,15517.3,15757.2,15357.3,28500000.0,0.0183
2024-04-15,14517.5,15557.3,15797.2,14517.5,54850000.0,-0.0692
2024-04-16,14277.5,14477.5,14557.4,13557.6,78140000.0,-0.0165
2024-04-17,13597.6,14397.5,14437.5,13597.6,40390000.0,-0.047599999999999996
2024-04-19,13037.7,13277.7,13757.6,12797.8,59280000.0,-0.0412
2024-04-22,13717.6,13477.6,13917.6,13317.7,34920000.0,0.0521
2024-04-23,13237.7,13717.6,13757.6,13157.7,26130000.0,-0.035
2024-04-24,13797.6,13517.6,13917.6,13397.6,32960000.0,0.042300000000000004
2024-04-25,13677.6,13717.6,13757.6,13517.6,18950000.0,-0.0087
2024-04-26,13477.6,13357.7,13677.6,13357.7,20580000.0,-0.0146
2024-05-02,13397.6,13477.6,13557.6,13277.7,14390000.0,-0.0059
2024-05-03,13437.6,13597.6,13677.6,13357.7,18020000.0,0.003
2024-05-06,14077.5,13597.6,14117.5,13517.6,35830000.0,0.047599999999999996
2024-05-07,13997.5,14077.5,14117.5,13877.6,18330000.0,-0.005699999999999999
2024-05-08,13997.5,13837.6,14197.5,13717.6,28710000.0,0.0
2024-05-09,13797.6,14077.5,14157.5,13757.6,21570000.0,-0.0143
2024-05-10,14037.5,13917.6,14077.5,13717.6,23090000.0,0.0174
2024-05-13,14037.5,14077.5,14237.5,13917.6,22130000.0,0.0
2024-05-14,13997.5,14077.5,14197.5,13957.5,12480000.0,-0.0028000000000000004
2024-05-15,14277.5,13997.5,14517.5,13997.5,34830000.0,0.02
2024-05-16,14517.5,14477.5,14677.4,14397.5,33940000.0,0.0168
2024-05-17,14597.4,14557.4,14757.4,14437.5,26010000.0,0.0055000000000000005
2024-05-20,14597.4,14797.4,14877.4,14597.4,27730000.0,0.0
2024-05-21,14637.4,14597.4,14717.4,14357.5,25980000.0,0.0027
2024-05-22,14557.4,14677.4,14997.4,14477.5,35590000.0,-0.0055000000000000005
2024-05-23,14717.4,14517.5,14717.4,14117.5,36420000.0,0.011000000000000001
2024-05-24,14157.5,14517.5,14597.4,13957.5,43420000.0,-0.038
2024-05-27,14317.5,14157.5,14357.5,13997.5,14600000.0,0.0113
2024-05-28,14517.5,14397.5,14557.4,14317.5,18970000.0,0.013999999999999999
2024-05-29,14397.5,14517.5,14717.4,14317.5,23520000.0,-0.0083
2024-05-30,14317.5,14197.5,14437.5,14037.5,27440000.0,-0.005600000000000001
2024-05-31,14397.5,14317.5,14597.4,14317.5,21090000.0,0.005600000000000001
2024-06-03,14677.4,14557.4,14797.4,14557.4,29180000.0,0.0194
2024-06-04,14597.4,14717.4,14917.4,14597.4,22060000.0,-0.0055000000000000005
